Cliente;Status;Tipo Pagto;Conta Financeira;Documento;Dt. Vencimento;Dt. Pagamento;Valor Título;Valor Pago;
"34172590000151_FOOD SERVICE";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"422601";"05/04/2026";;"307,15";"0,00";
"38539141000150_EDIFICIOPREMIUM";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"413801";"05/04/2026";;"408,40";"0,00";
"39781752000172 E & L PRODUCOES";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"412501";"05/04/2026";;"620,48";"0,00";
"59283979000103_JV TERCEIRIZADA";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"416801";"05/04/2026";;"382,99";"0,00";
"06635285002329 — THOR NORDESTE";"ABERTO";"BOLETO";"VENDAS";"NF16172";"05/04/2026";;"2.106,00";"0,00";
"43401106000100 SABOR CASEIRO";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"417301";"05/04/2026";;"119,00";"0,00";
"06635285002167 THOR NORDESTE";"ABERTO";"BOLETO";"VENDAS";"404901";"05/04/2026";;"2.106,00";"0,00";
"34324305749_LOURIVAL";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"416301";"05/04/2026";;"72,16";"0,00";
"31023302001776 THOR GRANITOS E";"ABERTO";"BOLETO";"VENDAS";"404701";"05/04/2026";;"2.306,00";"0,00";
"39264064000135_QUARTIER CENTER";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"417001";"05/04/2026";;"450,29";"0,00";
"08601055710_CARLOSMAGNUS";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"414401";"05/04/2026";;"182,01";"0,00";
"30961965000101_GAROTO";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"418301";"05/04/2026";;"1.048,86";"0,00";
"07147767000197 FAVALORO";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"425401";"05/04/2026";;"151,05";"0,00";
"13985749000187_PRAIA CORPORATE";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"423001";"05/04/2026";;"2.278,13";"0,00";
"43243228000115-GHISOLFI";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"424401";"05/04/2026";;"602,31";"0,00";
"09595974000130_PRESERVE";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"426001";"05/04/2026";;"135,00";"0,00";
"06863643000145_QUALITY FUMIG.";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"426701";"05/04/2026";;"205,24";"0,00";
"28442313000119 RS SANTOS";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"420701";"05/04/2026";;"160,45";"0,00";
"28141190000267 SANTA CASA VIT";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"429101";"05/04/2026";;"1.089,90";"0,00";
"31778623700 HELVÉCIO";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"417501";"05/04/2026";;"271,60";"0,00";
"12269048741_HUANNA";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"414301";"05/04/2026";;"72,31";"0,00";
"27016518000170 AUTO POSTO";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"419901";"05/04/2026";;"112,14";"0,00";
"22134215000138 SKYSTONE";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"415001";"05/04/2026";;"358,86";"0,00";
"09602795000182 TRANSMARKS";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"420801";"05/04/2026";;"265,05";"0,00";
"31702947000330 VIMINAS";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"422501";"05/04/2026";;"2.367,09";"0,00";
"LA VITA COMERCIO VAREJISTA E A";"ABERTO";"BOLETO";"VENDAS";"326604";"05/04/2026";;"397,65";"0,00";
"09470143000131_PASSION";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"426801";"05/04/2026";;"152,54";"0,00";
"09470143000212 PASSIONAUT";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"420201";"05/04/2026";;"183,68";"0,00";
"05039314000111 CONST ANA";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"419801";"06/04/2026";;"149,81";"0,00";
"02598162000107_UCL";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"428701";"06/04/2026";;"1.600,00";"0,00";
"27390392000107_SIEPIERSKI";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"426301";"06/04/2026";;"117,23";"0,00";
"22619622000135_RACOES SANTA MA";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"413601";"06/04/2026";;"72,16";"0,00";
"10977136000100-IMOVI";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"432901";"06/04/2026";;"363,53";"0,00";
"01514955725_LourdesTomaz";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"418901";"06/04/2026";;"131,72";"0,00";
"24788019000102 MARCOS MARCENAR";"ABERTO";"BOLETO";"VENDAS";"358203";"07/04/2026";;"505,10";"0,00";
"31775877000188_GBR - SERVICOS";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"425601";"07/04/2026";;"105,09";"0,00";
"14165301000180 ECOLLOGISTICS";"ABERTO";"BOLETO";"VENDAS";"435601";"07/04/2026";;"390,00";"0,00";
"15014790000131 BELA VISTA GE";"ABERTO";"BOLETO";"SERVIÇOS AVULSOS";"434801";"07/04/2026";;"180,00";"0,00";
"50615126000149 ARGOS STONES LT";"ABERTO";"BOLETO";"VENDAS";"431801";"07/04/2026";;"287,00";"0,00";
"29164402000103 SONHO FITNESS L";"ABERTO";"BOLETO";"SERVIÇOS AVULSOS";"435501";"07/04/2026";;"818,00";"0,00";
"19537752004373 ORGUEL IND.";"ABERTO";"BOLETO";"SERVIÇOS AVULSOS";"436101";"08/04/2026";;"962,50";"0,00";
"GREEN VIX ESTACIONAMENTOS LTDA";"ABERTO";"BOLETO";"VENDAS";"358703";"08/04/2026";;"400,08";"0,00";
"2733195000135 LIPETRAL LINHARE";"ABERTO";"BOLETO";"VENDAS";"427101";"08/04/2026";;"1.990,00";"0,00";
"04746729000162 LEVANTINA NATUR";"ABERTO";"BOLETO";"SERVIÇOS AVULSOS";"436201";"08/04/2026";;"90,00";"0,00";
